country_iso3,year,indicator_key,indicator_code,obs_value
IDN,2018,services_balance,BS_BP6_USD,-6485.07
IDN,2019,services_balance,BS_BP6_USD,-7640.8
IDN,2020,services_balance,BS_BP6_USD,-9755.48
IDN,2021,services_balance,BS_BP6_USD,-14598.51
IDN,2022,services_balance,BS_BP6_USD,-19957.12
IDN,2023,services_balance,BS_BP6_USD,-17676.1
SGP,2018,services_balance,BS_BP6_USD,13011.8
SGP,2019,services_balance,BS_BP6_USD,21607.5
SGP,2020,services_balance,BS_BP6_USD,9974.1
SGP,2021,services_balance,BS_BP6_USD,49891.3
SGP,2022,services_balance,BS_BP6_USD,59128.5
SGP,2023,services_balance,BS_BP6_USD,42901.4
VNM,2018,services_balance,BS_BP6_USD,-2288.0
VNM,2019,services_balance,BS_BP6_USD,-945.0
VNM,2020,services_balance,BS_BP6_USD,-10287.0
VNM,2021,services_balance,BS_BP6_USD,-15395.0
VNM,2022,services_balance,BS_BP6_USD,-13903.0
VNM,2023,services_balance,BS_BP6_USD,-8827.0
IDN,2018,trade_balance_gdp,TGB_XGDP_RT_PS,35.4275944
IDN,2019,trade_balance_gdp,TGB_XGDP_RT_PS,30.2886153
IDN,2020,trade_balance_gdp,TGB_XGDP_RT_PS,28.7247024
IDN,2021,trade_balance_gdp,TGB_XGDP_RT_PS,36.0568326
IDN,2022,trade_balance_gdp,TGB_XGDP_RT_PS,40.1072306
IDN,2023,trade_balance_gdp,TGB_XGDP_RT_PS,35.0563298
SGP,2018,trade_balance_gdp,TGB_XGDP_RT_PS,207.608059
SGP,2019,trade_balance_gdp,TGB_XGDP_RT_PS,199.2144416
SGP,2020,trade_balance_gdp,TGB_XGDP_RT_PS,201.0822534
SGP,2021,trade_balance_gdp,TGB_XGDP_RT_PS,197.8353228
SGP,2022,trade_balance_gdp,TGB_XGDP_RT_PS,194.5995521
SGP,2023,trade_balance_gdp,TGB_XGDP_RT_PS,177.6991414
VNM,2018,trade_balance_gdp,TGB_XGDP_RT_PS,155.1149791
VNM,2019,trade_balance_gdp,TGB_XGDP_RT_PS,154.9359398
VNM,2020,trade_balance_gdp,TGB_XGDP_RT_PS,157.3600631
VNM,2021,trade_balance_gdp,TGB_XGDP_RT_PS,182.5945009
VNM,2022,trade_balance_gdp,TGB_XGDP_RT_PS,176.9734759
VNM,2023,trade_balance_gdp,TGB_XGDP_RT_PS,157.0488901
