country_name,country_text_id,year,v2x_polyarchy,v2x_libdem,v2x_civlib,v2x_freexp_altinf,v2x_rule,v2x_corr,v2xme_altinf,v2x_jucon,v2x_clphy,e_pt_coup
Indonesia,IDN,2018,0.599,0.463,0.753,0.73,0.758,0.772,0.773,0.561,0.74,0
Indonesia,IDN,2019,0.596,0.459,0.74,0.741,0.754,0.821,0.756,0.531,0.855,0
Indonesia,IDN,2020,0.566,0.411,0.697,0.762,0.741,0.777,0.706,0.465,0.868,0
Indonesia,IDN,2021,0.545,0.398,0.705,0.754,0.746,0.756,0.759,0.464,0.841,0
Indonesia,IDN,2022,0.561,0.39,0.747,0.736,0.617,0.78,0.791,0.447,0.864,0
Indonesia,IDN,2023,0.538,0.348,0.7,0.769,0.529,0.725,0.714,0.385,0.822,0
Indonesia,IDN,2024,0.496,0.332,0.7,0.767,0.59,0.741,0.741,0.398,0.803,0
Indonesia,IDN,2025,0.462,0.296,0.63,0.795,0.584,0.688,0.636,0.338,0.806,
Singapore,SGP,2018,0.409,0.336,0.718,0.01,0.78,0.372,0.953,0.974,0.279,0
Singapore,SGP,2019,0.403,0.33,0.704,0.01,0.78,0.35,0.932,0.974,0.267,0
Singapore,SGP,2020,0.402,0.332,0.712,0.008,0.813,0.338,0.932,0.972,0.268,0
Singapore,SGP,2021,0.395,0.329,0.698,0.008,0.816,0.338,0.942,0.974,0.28,0
Singapore,SGP,2022,0.395,0.328,0.697,0.008,0.805,0.335,0.942,0.974,0.28,0
Singapore,SGP,2023,0.405,0.334,0.713,0.013,0.805,0.36,0.973,0.969,0.28,0
Singapore,SGP,2024,0.418,0.348,0.714,0.032,0.846,0.348,0.973,0.961,0.28,0
Singapore,SGP,2025,0.434,0.36,0.717,0.013,0.868,0.4,0.973,0.974,0.38,
Vietnam,VNM,2018,0.161,0.113,0.409,0.491,0.173,0.139,0.617,0.318,0.065,0
Vietnam,VNM,2019,0.211,0.117,0.384,0.496,0.15,0.128,0.545,0.318,0.065,0
Vietnam,VNM,2020,0.211,0.106,0.387,0.488,0.143,0.123,0.577,0.32,0.058,0
Vietnam,VNM,2021,0.169,0.109,0.362,0.504,0.16,0.137,0.549,0.32,0.099,0
Vietnam,VNM,2022,0.152,0.106,0.363,0.483,0.142,0.147,0.568,0.308,0.104,0
Vietnam,VNM,2023,0.148,0.111,0.349,0.498,0.157,0.121,0.555,0.332,0.085,0
Vietnam,VNM,2024,0.159,0.109,0.378,0.487,0.157,0.12,0.529,0.347,0.085,0
Vietnam,VNM,2025,0.146,0.102,0.384,0.466,0.152,0.102,0.54,0.319,0.066,
